job_title,company,category,skills,skills_list,salary,experience_level
Lead Engineer,DigitalWorks,Technology,"Git, AWS, JavaScript, Machine Learning, Python, CI/CD","['Git', 'AWS', 'JavaScript', 'Machine Learning', 'Python', 'CI/CD']",115759.0,Not Specified
Technical Lead,DigitalWorks,Technology,"TypeScript, Python, Machine Learning, JavaScript, React","['TypeScript', 'Python', 'Machine Learning', 'JavaScript', 'React']",108456.0,Not Specified
Senior Data Scientist,EnterpriseHub,Technology,"Git, Java, CI/CD, REST APIs, Python, Kubernetes, Go","['Git', 'Java', 'CI/CD', 'REST APIs', 'Python', 'Kubernetes', 'Go']",115733.0,Not Specified
Lead Engineer,WebDynamics,Technology,"JavaScript, CI/CD, Java, REST APIs, Docker","['JavaScript', 'CI/CD', 'Java', 'REST APIs', 'Docker']",114256.0,Not Specified
Lead Engineer,DataInc,Technology,"Machine Learning, Node.js, CI/CD","['Machine Learning', 'Node.js', 'CI/CD']",118910.0,Not Specified
Data Scientist,CodeFactory,Technology,"REST APIs, CI/CD, Python","['REST APIs', 'CI/CD', 'Python']",113649.0,Not Specified
Senior Software Engineer,EnterpriseHub,Technology,"AWS, CI/CD, REST APIs, Machine Learning, MongoDB, Agile, React","['AWS', 'CI/CD', 'REST APIs', 'Machine Learning', 'MongoDB', 'Agile', 'React']",111951.0,Not Specified
Senior Data Scientist,InnovateLab,Technology,"Machine Learning, Node.js, Go, React, Git, REST APIs, CI/CD","['Machine Learning', 'Node.js', 'Go', 'React', 'Git', 'REST APIs', 'CI/CD']",118274.0,Not Specified
Senior Software Engineer,CodeFactory,Technology,"Kubernetes, Go, JavaScript, MongoDB, Node.js, Machine Learning","['Kubernetes', 'Go', 'JavaScript', 'MongoDB', 'Node.js', 'Machine Learning']",116897.0,Not Specified
Senior Software Engineer,CodeFactory,Technology,"MongoDB, TypeScript, Java","['MongoDB', 'TypeScript', 'Java']",106078.0,Not Specified
Senior Software Engineer,TechCorp,Technology,"Java, Agile, CI/CD, JavaScript, AWS","['Java', 'Agile', 'CI/CD', 'JavaScript', 'AWS']",106043.0,Not Specified
Senior Software Engineer,CloudSystems,Technology,"TypeScript, Node.js, TensorFlow, Go, REST APIs, React, Python","['TypeScript', 'Node.js', 'TensorFlow', 'Go', 'REST APIs', 'React', 'Python']",105471.0,Not Specified
Senior Software Engineer,InnovateLab,Technology,"CI/CD, Git, JavaScript","['CI/CD', 'Git', 'JavaScript']",107776.0,Not Specified
Technical Lead,CloudSystems,Technology,"Kubernetes, SQL, REST APIs, TensorFlow, MongoDB","['Kubernetes', 'SQL', 'REST APIs', 'TensorFlow', 'MongoDB']",107434.0,Not Specified
Lead Engineer,DataInc,Technology,"MongoDB, AWS, Python, Machine Learning, Kubernetes, JavaScript","['MongoDB', 'AWS', 'Python', 'Machine Learning', 'Kubernetes', 'JavaScript']",103724.0,Not Specified
Product Manager,WebDynamics,Technology,"SQL, TensorFlow, MongoDB, REST APIs, Docker, Node.js","['SQL', 'TensorFlow', 'MongoDB', 'REST APIs', 'Docker', 'Node.js']",107618.0,Not Specified
Technical Lead,DigitalWorks,Technology,"SQL, TensorFlow, Node.js, Git, AWS","['SQL', 'TensorFlow', 'Node.js', 'Git', 'AWS']",109758.0,Not Specified
Frontend Developer,DataInc,Technology,"TypeScript, JavaScript, SQL, Machine Learning, Docker","['TypeScript', 'JavaScript', 'SQL', 'Machine Learning', 'Docker']",107507.0,Not Specified
Product Manager,DataInc,Technology,"Java, Ruby, Agile, AWS","['Java', 'Ruby', 'Agile', 'AWS']",105801.0,Not Specified
Solutions Architect,EnterpriseHub,Technology,"AWS, Go, JavaScript, Docker, Machine Learning","['AWS', 'Go', 'JavaScript', 'Docker', 'Machine Learning']",109002.0,Not Specified
Software Engineer,DataInc,Technology,"AWS, TypeScript, MongoDB, React, Ruby, SQL, CI/CD","['AWS', 'TypeScript', 'MongoDB', 'React', 'Ruby', 'SQL', 'CI/CD']",104788.0,Not Specified
Backend Developer,InnovateLab,Technology,"Kubernetes, Docker, Java, TensorFlow, Python, SQL, Git","['Kubernetes', 'Docker', 'Java', 'TensorFlow', 'Python', 'SQL', 'Git']",103684.0,Not Specified
Senior Software Engineer,CodeFactory,Technology,"React, REST APIs, CI/CD, Java, SQL, AWS","['React', 'REST APIs', 'CI/CD', 'Java', 'SQL', 'AWS']",102659.0,Not Specified
QA Engineer,DataInc,Technology,"JavaScript, React, Git, Docker, AWS, Ruby, TypeScript","['JavaScript', 'React', 'Git', 'Docker', 'AWS', 'Ruby', 'TypeScript']",111455.0,Not Specified
Project Manager,CodeFactory,Technology,"TypeScript, Git, JavaScript, React, Kubernetes, AWS, Node.js","['TypeScript', 'Git', 'JavaScript', 'React', 'Kubernetes', 'AWS', 'Node.js']",103468.0,Not Specified
Product Manager,InnovateLab,Technology,"JavaScript, Go, CI/CD, Machine Learning","['JavaScript', 'Go', 'CI/CD', 'Machine Learning']",106148.0,Not Specified
Backend Developer,CodeFactory,Technology,"Java, Docker, AWS, Go, Git, TypeScript, Node.js","['Java', 'Docker', 'AWS', 'Go', 'Git', 'TypeScript', 'Node.js']",111149.0,Not Specified
Senior Software Engineer,TechCorp,Technology,"Machine Learning, Docker, Java, Agile, React, SQL","['Machine Learning', 'Docker', 'Java', 'Agile', 'React', 'SQL']",104733.0,Not Specified
Project Manager,DigitalWorks,Technology,"JavaScript, Go, Ruby, Git, TensorFlow, REST APIs","['JavaScript', 'Go', 'Ruby', 'Git', 'TensorFlow', 'REST APIs']",109605.0,Not Specified
Project Manager,CodeFactory,Technology,"Agile, SQL, TensorFlow, Machine Learning","['Agile', 'SQL', 'TensorFlow', 'Machine Learning']",106406.0,Not Specified
Software Engineer,EnterpriseHub,Technology,"Node.js, TensorFlow, CI/CD, REST APIs","['Node.js', 'TensorFlow', 'CI/CD', 'REST APIs']",113693.0,Not Specified
Machine Learning Engineer,WebDynamics,Technology,"CI/CD, Go, REST APIs, TypeScript, Node.js","['CI/CD', 'Go', 'REST APIs', 'TypeScript', 'Node.js']",103982.0,Not Specified
Project Manager,CloudSystems,Technology,"Machine Learning, AWS, Kubernetes, Docker, SQL, Ruby","['Machine Learning', 'AWS', 'Kubernetes', 'Docker', 'SQL', 'Ruby']",99351.0,Not Specified
Senior Data Scientist,DataInc,Technology,"JavaScript, Git, SQL, Kubernetes","['JavaScript', 'Git', 'SQL', 'Kubernetes']",110033.0,Not Specified
DevOps Engineer,DigitalWorks,Technology,"Python, REST APIs, Go, Java","['Python', 'REST APIs', 'Go', 'Java']",112214.0,Not Specified
Frontend Developer,TechCorp,Technology,"Java, Ruby, Node.js","['Java', 'Ruby', 'Node.js']",97145.0,Not Specified
Machine Learning Engineer,DataInc,Technology,"Agile, REST APIs, AWS, Git, Machine Learning, CI/CD","['Agile', 'REST APIs', 'AWS', 'Git', 'Machine Learning', 'CI/CD']",106755.0,Not Specified
Backend Developer,StartupXYZ,Technology,"Java, REST APIs, Python, JavaScript","['Java', 'REST APIs', 'Python', 'JavaScript']",103022.0,Not Specified
Data Scientist,DataInc,Technology,"AWS, SQL, Agile, Ruby, Git, JavaScript","['AWS', 'SQL', 'Agile', 'Ruby', 'Git', 'JavaScript']",104474.0,Not Specified
DevOps Engineer,DigitalWorks,Technology,"Ruby, MongoDB, JavaScript, CI/CD, Machine Learning, REST APIs, Git","['Ruby', 'MongoDB', 'JavaScript', 'CI/CD', 'Machine Learning', 'REST APIs', 'Git']",103733.0,Not Specified
Product Manager,InnovateLab,Technology,"Python, AWS, Java, Machine Learning, Go, Docker","['Python', 'AWS', 'Java', 'Machine Learning', 'Go', 'Docker']",108664.0,Not Specified
Project Manager,CloudSystems,Technology,"Machine Learning, JavaScript, Kubernetes","['Machine Learning', 'JavaScript', 'Kubernetes']",109337.0,Not Specified
Machine Learning Engineer,TechCorp,Technology,"Ruby, AWS, SQL, TensorFlow","['Ruby', 'AWS', 'SQL', 'TensorFlow']",107485.0,Not Specified
Solutions Architect,InnovateLab,Technology,"JavaScript, Agile, Kubernetes, React","['JavaScript', 'Agile', 'Kubernetes', 'React']",106239.0,Not Specified
Machine Learning Engineer,TechCorp,Technology,"TypeScript, Kubernetes, Go, Git, SQL, Node.js, TensorFlow","['TypeScript', 'Kubernetes', 'Go', 'Git', 'SQL', 'Node.js', 'TensorFlow']",112535.0,Not Specified
Software Engineer,DataInc,Technology,"Ruby, REST APIs, AWS, CI/CD, TypeScript, Agile, JavaScript","['Ruby', 'REST APIs', 'AWS', 'CI/CD', 'TypeScript', 'Agile', 'JavaScript']",105618.0,Not Specified
Frontend Developer,WebDynamics,Technology,"Go, MongoDB, CI/CD, Machine Learning, Agile, Java","['Go', 'MongoDB', 'CI/CD', 'Machine Learning', 'Agile', 'Java']",109745.0,Not Specified
Security Engineer,EnterpriseHub,Technology,"Node.js, TensorFlow, TypeScript, SQL","['Node.js', 'TensorFlow', 'TypeScript', 'SQL']",100122.0,Not Specified
Lead Engineer,EnterpriseHub,Technology,"Agile, Machine Learning, Python, React","['Agile', 'Machine Learning', 'Python', 'React']",102627.0,Not Specified
Product Manager,StartupXYZ,Technology,"AWS, MongoDB, TypeScript","['AWS', 'MongoDB', 'TypeScript']",102940.0,Not Specified
Project Manager,InnovateLab,Technology,"JavaScript, REST APIs, Machine Learning, React","['JavaScript', 'REST APIs', 'Machine Learning', 'React']",100562.0,Not Specified
Software Engineer,DigitalWorks,Technology,"Node.js, Machine Learning, SQL, Docker, Go","['Node.js', 'Machine Learning', 'SQL', 'Docker', 'Go']",96309.0,Not Specified
Solutions Architect,DataInc,Technology,"MongoDB, React, TensorFlow","['MongoDB', 'React', 'TensorFlow']",110280.0,Not Specified
Frontend Developer,InnovateLab,Technology,"Git, MongoDB, Go, Agile, React, Ruby, Machine Learning","['Git', 'MongoDB', 'Go', 'Agile', 'React', 'Ruby', 'Machine Learning']",95592.0,Not Specified
Project Manager,AI Solutions,Technology,"TensorFlow, Git, Machine Learning, Python","['TensorFlow', 'Git', 'Machine Learning', 'Python']",98217.0,Not Specified
Machine Learning Engineer,AI Solutions,Technology,"SQL, AWS, REST APIs, Kubernetes, Machine Learning","['SQL', 'AWS', 'REST APIs', 'Kubernetes', 'Machine Learning']",98780.0,Not Specified
Project Manager,WebDynamics,Technology,"Python, Java, TensorFlow, Git, Go, CI/CD, JavaScript","['Python', 'Java', 'TensorFlow', 'Git', 'Go', 'CI/CD', 'JavaScript']",95141.0,Not Specified
QA Engineer,CodeFactory,Technology,"Python, MongoDB, Machine Learning, Node.js, JavaScript, Ruby","['Python', 'MongoDB', 'Machine Learning', 'Node.js', 'JavaScript', 'Ruby']",100203.0,Not Specified
QA Engineer,InnovateLab,Technology,"Git, TypeScript, Go","['Git', 'TypeScript', 'Go']",94838.0,Not Specified
Security Engineer,StartupXYZ,Technology,"Git, Ruby, Machine Learning, Kubernetes, Agile, SQL","['Git', 'Ruby', 'Machine Learning', 'Kubernetes', 'Agile', 'SQL']",98214.0,Not Specified
Product Manager,CodeFactory,Technology,"Machine Learning, Git, REST APIs, Node.js","['Machine Learning', 'Git', 'REST APIs', 'Node.js']",97454.0,Not Specified
Technical Lead,DigitalWorks,Technology,"Agile, Go, Node.js","['Agile', 'Go', 'Node.js']",98508.0,Not Specified
Technical Lead,DataInc,Technology,"Java, Go, JavaScript, Python, Agile","['Java', 'Go', 'JavaScript', 'Python', 'Agile']",87016.0,Not Specified
Technical Lead,StartupXYZ,Technology,"TensorFlow, Agile, JavaScript, Ruby, Docker, Node.js, Git","['TensorFlow', 'Agile', 'JavaScript', 'Ruby', 'Docker', 'Node.js', 'Git']",95342.0,Not Specified
Technical Lead,CodeFactory,Technology,"Ruby, JavaScript, TensorFlow, Docker, TypeScript, React, CI/CD","['Ruby', 'JavaScript', 'TensorFlow', 'Docker', 'TypeScript', 'React', 'CI/CD']",94578.0,Not Specified
Software Engineer,DataInc,Technology,"Ruby, SQL, MongoDB","['Ruby', 'SQL', 'MongoDB']",88855.0,Not Specified
Technical Lead,CodeFactory,Technology,"SQL, CI/CD, Go, Java","['SQL', 'CI/CD', 'Go', 'Java']",90287.0,Not Specified
Technical Lead,TechCorp,Technology,"Python, JavaScript, Git, Docker, Java, Node.js, Ruby","['Python', 'JavaScript', 'Git', 'Docker', 'Java', 'Node.js', 'Ruby']",98084.0,Not Specified
DevOps Engineer,AI Solutions,Technology,"TypeScript, CI/CD, Git","['TypeScript', 'CI/CD', 'Git']",85048.0,Not Specified
QA Engineer,WebDynamics,Technology,"JavaScript, Python, Docker, REST APIs","['JavaScript', 'Python', 'Docker', 'REST APIs']",84367.0,Not Specified
Data Scientist,StartupXYZ,Technology,"Java, REST APIs, Git, AWS, Node.js, Machine Learning","['Java', 'REST APIs', 'Git', 'AWS', 'Node.js', 'Machine Learning']",85820.0,Not Specified
Full Stack Developer,EnterpriseHub,Technology,"Kubernetes, REST APIs, Git, Java, MongoDB, CI/CD","['Kubernetes', 'REST APIs', 'Git', 'Java', 'MongoDB', 'CI/CD']",89996.0,Not Specified
Machine Learning Engineer,AI Solutions,Technology,"Ruby, Docker, Agile, Python, TensorFlow","['Ruby', 'Docker', 'Agile', 'Python', 'TensorFlow']",88628.0,Not Specified
Full Stack Developer,TechCorp,Technology,"AWS, Node.js, TensorFlow, Ruby","['AWS', 'Node.js', 'TensorFlow', 'Ruby']",83894.0,Not Specified
Solutions Architect,WebDynamics,Technology,"Python, Node.js, MongoDB, SQL, REST APIs","['Python', 'Node.js', 'MongoDB', 'SQL', 'REST APIs']",86172.0,Not Specified
Data Scientist,DataInc,Technology,"Docker, Python, REST APIs, Node.js, Java","['Docker', 'Python', 'REST APIs', 'Node.js', 'Java']",89618.0,Not Specified
Technical Lead,WebDynamics,Technology,"Python, JavaScript, Git, Machine Learning, Go, Node.js, CI/CD","['Python', 'JavaScript', 'Git', 'Machine Learning', 'Go', 'Node.js', 'CI/CD']",94029.0,Not Specified
Solutions Architect,CodeFactory,Technology,"Agile, TypeScript, Docker, Git, Java","['Agile', 'TypeScript', 'Docker', 'Git', 'Java']",87970.0,Not Specified
QA Engineer,WebDynamics,Technology,"Machine Learning, AWS, Docker, Ruby, Kubernetes","['Machine Learning', 'AWS', 'Docker', 'Ruby', 'Kubernetes']",88400.0,Not Specified
Frontend Developer,DataInc,Technology,"Git, TypeScript, Docker, Go","['Git', 'TypeScript', 'Docker', 'Go']",86006.0,Not Specified
Technical Lead,TechCorp,Technology,"React, Kubernetes, Docker","['React', 'Kubernetes', 'Docker']",81347.0,Not Specified
Full Stack Developer,CloudSystems,Technology,"TypeScript, SQL, Node.js, Agile, Git, REST APIs, Machine Learning","['TypeScript', 'SQL', 'Node.js', 'Agile', 'Git', 'REST APIs', 'Machine Learning']",89373.0,Not Specified
DevOps Engineer,AI Solutions,Technology,"Ruby, Python, AWS, Node.js, SQL, Git","['Ruby', 'Python', 'AWS', 'Node.js', 'SQL', 'Git']",88680.0,Not Specified
Solutions Architect,WebDynamics,Technology,"Go, React, TensorFlow, Ruby, Java, Agile, TypeScript","['Go', 'React', 'TensorFlow', 'Ruby', 'Java', 'Agile', 'TypeScript']",83262.0,Not Specified
Software Engineer,StartupXYZ,Technology,"Agile, Java, Git, Docker","['Agile', 'Java', 'Git', 'Docker']",89594.0,Not Specified
Security Engineer,InnovateLab,Technology,"Agile, Go, Docker, CI/CD","['Agile', 'Go', 'Docker', 'CI/CD']",88820.0,Not Specified
QA Engineer,DigitalWorks,Technology,"TypeScript, React, REST APIs","['TypeScript', 'React', 'REST APIs']",79139.0,Not Specified
Machine Learning Engineer,WebDynamics,Technology,"Java, Kubernetes, TypeScript, Ruby","['Java', 'Kubernetes', 'TypeScript', 'Ruby']",88302.0,Not Specified
QA Engineer,CloudSystems,Technology,"TensorFlow, Python, REST APIs","['TensorFlow', 'Python', 'REST APIs']",89744.0,Not Specified
UX Designer,DataInc,Technology,"Kubernetes, AWS, Agile, Python","['Kubernetes', 'AWS', 'Agile', 'Python']",84041.0,Not Specified
Technical Lead,AI Solutions,Technology,"React, Machine Learning, Go, SQL","['React', 'Machine Learning', 'Go', 'SQL']",86121.0,Not Specified
Data Scientist,TechCorp,Technology,"Python, Git, Agile, REST APIs, React, SQL, MongoDB","['Python', 'Git', 'Agile', 'REST APIs', 'React', 'SQL', 'MongoDB']",88708.0,Not Specified
Security Engineer,EnterpriseHub,Technology,"TypeScript, CI/CD, Python, Docker, Go, Ruby, React","['TypeScript', 'CI/CD', 'Python', 'Docker', 'Go', 'Ruby', 'React']",78178.0,Not Specified
Junior Developer,DigitalWorks,Technology,"Go, Python, CI/CD","['Go', 'Python', 'CI/CD']",91423.0,Not Specified
Backend Developer,CodeFactory,Technology,"Docker, REST APIs, AWS, Java, Python, TypeScript","['Docker', 'REST APIs', 'AWS', 'Java', 'Python', 'TypeScript']",73996.0,Not Specified
Full Stack Developer,EnterpriseHub,Technology,"Go, Docker, Machine Learning, Python, Kubernetes, React, AWS","['Go', 'Docker', 'Machine Learning', 'Python', 'Kubernetes', 'React', 'AWS']",79809.0,Not Specified
Software Engineer,StartupXYZ,Technology,"AWS, Machine Learning, Docker, JavaScript, TypeScript, Java, Node.js","['AWS', 'Machine Learning', 'Docker', 'JavaScript', 'TypeScript', 'Java', 'Node.js']",86256.0,Not Specified
Machine Learning Engineer,AI Solutions,Technology,"Python, TensorFlow, MongoDB, AWS, Go, JavaScript, TypeScript","['Python', 'TensorFlow', 'MongoDB', 'AWS', 'Go', 'JavaScript', 'TypeScript']",89865.0,Not Specified
Data Scientist,CloudSystems,Technology,"MongoDB, Node.js, REST APIs","['MongoDB', 'Node.js', 'REST APIs']",74350.0,Not Specified
Frontend Developer,AI Solutions,Technology,"Node.js, TypeScript, Machine Learning, Python, Go, Agile, Ruby","['Node.js', 'TypeScript', 'Machine Learning', 'Python', 'Go', 'Agile', 'Ruby']",76754.0,Not Specified
System Administrator,DataInc,Technology,"MongoDB, Machine Learning, SQL, Ruby, JavaScript, Go, Kubernetes","['MongoDB', 'Machine Learning', 'SQL', 'Ruby', 'JavaScript', 'Go', 'Kubernetes']",86676.0,Not Specified
Backend Developer,InnovateLab,Technology,"Ruby, JavaScript, Agile, SQL, CI/CD","['Ruby', 'JavaScript', 'Agile', 'SQL', 'CI/CD']",71897.0,Not Specified
Full Stack Developer,InnovateLab,Technology,"Kubernetes, Docker, Node.js, Git","['Kubernetes', 'Docker', 'Node.js', 'Git']",75303.0,Not Specified
Junior Developer,CodeFactory,Technology,"SQL, Machine Learning, TypeScript, JavaScript, CI/CD, Docker","['SQL', 'Machine Learning', 'TypeScript', 'JavaScript', 'CI/CD', 'Docker']",88329.0,Not Specified
Software Engineer,DigitalWorks,Technology,"Node.js, SQL, Docker, Kubernetes, JavaScript","['Node.js', 'SQL', 'Docker', 'Kubernetes', 'JavaScript']",72899.0,Not Specified
DevOps Engineer,InnovateLab,Technology,"Git, Ruby, Go, Machine Learning, MongoDB","['Git', 'Ruby', 'Go', 'Machine Learning', 'MongoDB']",72611.0,Not Specified
Full Stack Developer,EnterpriseHub,Technology,"TensorFlow, REST APIs, Git, Agile","['TensorFlow', 'REST APIs', 'Git', 'Agile']",81791.0,Not Specified
Software Engineer,TechCorp,Technology,"Node.js, CI/CD, TypeScript, Kubernetes, MongoDB","['Node.js', 'CI/CD', 'TypeScript', 'Kubernetes', 'MongoDB']",73214.0,Not Specified
Business Analyst,CloudSystems,Technology,"SQL, Docker, AWS, Kubernetes, Python","['SQL', 'Docker', 'AWS', 'Kubernetes', 'Python']",79929.0,Not Specified
System Administrator,WebDynamics,Technology,"Agile, Node.js, React, REST APIs","['Agile', 'Node.js', 'React', 'REST APIs']",79215.0,Not Specified
Machine Learning Engineer,AI Solutions,Technology,"AWS, Go, Git, React","['AWS', 'Go', 'Git', 'React']",79372.0,Not Specified
Frontend Developer,InnovateLab,Technology,"Machine Learning, Python, Docker, Git, Node.js","['Machine Learning', 'Python', 'Docker', 'Git', 'Node.js']",87625.0,Not Specified
UX Designer,TechCorp,Technology,"Docker, TypeScript, REST APIs, Kubernetes, TensorFlow, Ruby, React","['Docker', 'TypeScript', 'REST APIs', 'Kubernetes', 'TensorFlow', 'Ruby', 'React']",80235.0,Not Specified
Junior Developer,WebDynamics,Technology,"JavaScript, Kubernetes, REST APIs, Python, AWS, TensorFlow","['JavaScript', 'Kubernetes', 'REST APIs', 'Python', 'AWS', 'TensorFlow']",75038.0,Not Specified
Solutions Architect,DigitalWorks,Technology,"MongoDB, TypeScript, Machine Learning, Ruby, Python, Agile, TensorFlow","['MongoDB', 'TypeScript', 'Machine Learning', 'Ruby', 'Python', 'Agile', 'TensorFlow']",79969.0,Not Specified
Security Engineer,CodeFactory,Technology,"Python, React, CI/CD","['Python', 'React', 'CI/CD']",83062.0,Not Specified
Solutions Architect,TechCorp,Technology,"CI/CD, Machine Learning, Docker, TypeScript","['CI/CD', 'Machine Learning', 'Docker', 'TypeScript']",74245.0,Not Specified
Solutions Architect,CloudSystems,Technology,"AWS, CI/CD, Python","['AWS', 'CI/CD', 'Python']",87002.0,Not Specified
Machine Learning Engineer,EnterpriseHub,Technology,"Kubernetes, TensorFlow, JavaScript, Git, React, Python, Go","['Kubernetes', 'TensorFlow', 'JavaScript', 'Git', 'React', 'Python', 'Go']",86275.0,Not Specified
Security Engineer,TechCorp,Technology,"REST APIs, React, Ruby, Python, Git","['REST APIs', 'React', 'Ruby', 'Python', 'Git']",85072.0,Not Specified
Machine Learning Engineer,DataInc,Technology,"Machine Learning, React, REST APIs, CI/CD, Go, Docker","['Machine Learning', 'React', 'REST APIs', 'CI/CD', 'Go', 'Docker']",77143.0,Not Specified
Backend Developer,WebDynamics,Technology,"CI/CD, Agile, SQL, TensorFlow, Docker","['CI/CD', 'Agile', 'SQL', 'TensorFlow', 'Docker']",76412.0,Not Specified
Software Engineer,WebDynamics,Technology,"AWS, Git, Ruby, TensorFlow, Agile","['AWS', 'Git', 'Ruby', 'TensorFlow', 'Agile']",78733.0,Not Specified
Machine Learning Engineer,CloudSystems,Technology,"CI/CD, Go, Node.js, Ruby, REST APIs","['CI/CD', 'Go', 'Node.js', 'Ruby', 'REST APIs']",81416.0,Not Specified
Frontend Developer,CloudSystems,Technology,"Java, React, Agile, Docker, Python, Machine Learning","['Java', 'React', 'Agile', 'Docker', 'Python', 'Machine Learning']",75229.0,Not Specified
Machine Learning Engineer,StartupXYZ,Technology,"Machine Learning, Go, Git, Docker, REST APIs, CI/CD","['Machine Learning', 'Go', 'Git', 'Docker', 'REST APIs', 'CI/CD']",81209.0,Not Specified
Solutions Architect,TechCorp,Technology,"Ruby, Python, React, Java, TensorFlow, JavaScript, REST APIs","['Ruby', 'Python', 'React', 'Java', 'TensorFlow', 'JavaScript', 'REST APIs']",81682.0,Not Specified
Solutions Architect,CodeFactory,Technology,"Node.js, MongoDB, Go, Agile, AWS, TypeScript, Machine Learning","['Node.js', 'MongoDB', 'Go', 'Agile', 'AWS', 'TypeScript', 'Machine Learning']",83140.0,Not Specified
Software Engineer,EnterpriseHub,Technology,"CI/CD, Python, Kubernetes","['CI/CD', 'Python', 'Kubernetes']",78059.0,Not Specified
